id,province,carcolour,hp,gender,age,lic_years,pastclaims,claims,exp_years
1,MP,Blue,74,0,18,0,0,0,0.005475702
2,GP,White,283,0,81,63,1,0,0.616016427
3,WC,Green,122,0,54,35,1,1,0.919917864
4,WC,Black,172,0,39,21,1,0,0.361396304
5,LIM,White,161,0,54,35,0,0,1.160848734
6,EC,Yellow,119,0,55,36,0,0,0.514715948
7,LIM,Red,208,1,83,64,0,0,0.744695414
8,FS,White,76,1,43,25,2,1,0.632443532
9,WC,White,150,1,41,23,0,0,0.982888433
10,GP,Red,182,0,84,65,0,0,1.555099247
11,EC,White,55,1,26,7,0,0,0.574948665
12,MP,Green,92,1,23,4,0,0,0.257357974
13,WC,Silver,89,1,31,13,0,0,0.824093087
14,NW,Black,199,1,22,4,3,1,0.895277207
15,GP,Silver,57,0,29,10,5,0,0.739219713
16,EC,Black,152,0,25,6,1,0,0.287474333
17,EC,Yellow,214,1,27,8,1,0,1.596167009
18,KZN,Black,112,1,81,62,1,0,0.700889802
19,GP,Red,94,1,58,40,1,0,0.490075291
20,EC,White,238,0,28,9,1,1,0.829568789
21,GP,Red,138,1,86,67,1,0,0.561259411
22,WC,Black,120,0,37,19,3,1,1.089664613
23,WC,White,64,0,22,4,1,0,0.457221081
24,FS,Silver,190,1,18,0,1,0,1.311430527
25,WC,Black,84,1,27,9,0,1,1.095140315
26,FS,Red,112,1,75,56,3,0,0.607802875
27,GP,White,225,0,33,13,1,0,0.569472964
28,WC,Red,180,1,29,10,3,0,0.876112252
29,EC,Black,163,1,68,49,1,1,0.761122519
30,MP,White,139,1,34,16,1,0,1.300479124
31,GP,Yellow,141,0,78,59,1,0,0.525667351
32,GP,Yellow,102,0,20,2,1,1,0.980150582
33,MP,Black,181,1,35,17,1,0,0.720054757
34,EC,Silver,127,0,24,5,0,1,0.958247775
36,GP,Red,54,0,59,40,1,0,0.741957563
37,WC,White,83,0,45,26,1,0,0.251882272
38,EC,Silver,191,1,35,15,0,0,0.635181383
39,EC,Red,62,1,68,49,1,0,0.829568789
40,WC,White,77,1,35,17,0,0,0.824093087
41,GP,Blue,158,0,21,3,0,0,1.029431896
