id,province,carcolour,hp,gender,age,lic_years,pastclaims,exp_years
1,WC,White,218,1,29,11,2,0.481861739
2,FS,White,189,0,27,8,2,0.232717317
3,GP,Blue,166,1,31,13,0,0.169746749
4,GP,Yellow,94,0,31,13,0,0.156057495
5,MP,Blue,308,0,33,15,0,0.427104723
6,GP,Green,158,1,36,17,2,0.079397673
7,FS,Red,119,0,37,19,3,0.082135524
8,KZN,Black,116,1,25,6,0,0.328542094
9,KZN,White,164,0,54,35,2,0.361396304
10,KZN,Black,160,0,23,5,1,0.164271047
11,WC,White,102,1,31,12,1,0.123203285
12,KZN,White,119,1,71,52,1,0.205338809
13,WC,White,182,0,34,16,1,0.361396304
14,WC,White,70,1,29,11,3,0.158795346
15,GP,Green,190,0,68,50,2,0.465434634
16,NW,White,85,0,52,34,1,0.492813142
17,KZN,Yellow,142,0,22,4,0,0.210814511
18,FS,White,73,1,19,1,0,0.260095825
19,KZN,Black,128,0,38,20,1,0.309377139
20,KZN,Red,169,1,75,57,1,0.169746749
21,FS,White,123,0,65,47,2,0.284736482
22,WC,Red,122,0,77,58,1,0.424366872
23,WC,Green,107,1,25,6,0,0.490075291
24,KZN,White,55,1,31,13,0,0.281998631
25,FS,Red,139,1,76,58,4,0.169746749
26,KZN,Red,242,1,59,41,0,0.112251882
27,EC,White,96,1,62,43,2,0.323066393
28,KZN,White,134,1,46,27,1,0.235455168
29,GP,Red,121,1,38,20,1,0.221765914
30,WC,Red,118,0,46,27,3,0.440793977
31,KZN,Blue,105,0,85,67,0,0.1724846
32,GP,Red,127,1,70,50,2,0.490075291
33,WC,Green,156,1,36,18,3,0.010951403
34,EC,Black,112,0,22,4,4,0.032854209
35,NW,Black,119,1,24,6,1,0.142368241
36,MP,Blue,46,1,42,23,0,0.271047228
37,NW,White,66,1,63,44,1,0.005475702
38,NW,White,337,1,67,49,1,0.320328542
39,MP,White,104,0,69,51,2,0.438056126
40,FS,White,188,0,30,11,0,0.021902806
41,WC,Silver,108,0,42,24,1,0.153319644
42,FS,Silver,57,1,61,42,0,0.087611225
43,FS,Black,164,0,83,65,0,0.303901437
44,NW,Red,126,1,37,18,0,0.309377139
45,GP,Yellow,114,1,49,31,0,0.479123888
46,FS,Red,191,0,59,41,0,0.421629021
47,GP,Red,136,0,55,37,1,0.213552361
48,NW,White,222,1,71,53,1,0.183436003
49,EC,White,121,0,50,32,1,0.262833676
51,EC,White,224,0,75,57,3,0.34770705
52,GP,Silver,48,0,28,9,3,0.399726215
53,NW,Black,99,1,35,17,1,0.1724846
54,MP,Blue,63,0,37,19,1,0.134154689
55,NC,Red,200,0,46,27,1,0.17522245
56,GP,White,154,0,43,25,0,0.013689254
57,FS,Red,125,1,25,7,1,0.284736482
58,WC,Black,82,1,24,5,1,0.405201916
59,FS,Black,79,0,45,27,1,0.271047228
60,WC,White,51,0,20,1,1,0.164271047
61,MP,Yellow,56,0,63,43,1,0.339493498
62,WC,Black,143,0,59,40,2,0.188911704
63,NW,Red,78,1,82,64,1,0.030116359
64,WC,White,182,0,59,40,1,0.410677618
65,WC,Blue,81,0,52,33,2,0.041067762
66,KZN,Black,86,0,29,10,1,0.057494867
67,KZN,Silver,146,1,28,10,1,0.073921971
68,MP,Silver,156,0,18,0,0,0.240930869
69,KZN,Black,84,1,24,5,2,0.380561259
70,EC,White,185,0,32,13,1,0.087611225
71,FS,White,160,0,48,29,1,0.372347707
72,EC,White,102,0,27,8,3,0.353182752
73,WC,Red,69,0,34,15,0,0.366872005
74,WC,Red,223,1,21,3,0,0.019164956
75,FS,White,114,0,54,34,2,0.372347707
76,KZN,White,64,1,40,22,3,0.407939767
77,EC,White,84,1,23,5,1,0.251882272
78,KZN,White,182,1,19,1,4,0.314852841
79,FS,Black,179,1,54,35,2,0.284736482
80,EC,Silver,147,0,29,11,1,0.394250513
81,FS,Red,151,1,33,15,1,0.375085558
